央视频道,#genre#
古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8$中国移动
欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8$中国移动
怡伴健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8$中国移动
潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8$中国移动
军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8$中国移动
军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8$中国移动
中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8$中国移动
农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8$中国移动
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8$中国移动
家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8$中国移动
惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8$中国移动
武博世界,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8$中国移动
炫舞未来,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8$中国移动
爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8$中国移动
精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8$中国移动
精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8$中国移动
CHC影迷电影,http://video.qd.sdu.edu.cn/liverespath/bca6167afdef7fc773405c38e695b342c1d1eca0/index.m3u8
CHC动作电影,http://video.qd.sdu.edu.cn/liverespath/e0096742f0c5be4c5225cf3c7ab1077177bec05f/index.m3u8
CHC家庭影院,http://video.qd.sdu.edu.cn/liverespath/449d51febadb152094085d373b9af94a6ac5f1dd/index.m3u8
CHC动作电影,http://119.98.71.95:8888/udp/239.69.1.242:11094
CHC动作电影,http://ik6.iptv8.net:8888/udp/225.1.4.208:1261
CHC动作电影,http://annaxi.lw-home.com:11111/udp/239.253.254.153:8000
CHC家庭影院,http://ik6.iptv8.net:8888/udp/225.1.4.209:1262
CHC家庭影院,http://xuys.top:8888/udp/225.1.1.220:5002
CHC家庭影院,http://xuys.top:8888/udp/225.1.1.213:5002
CHC家庭影院,http://218.76.32.193:9901/tsfile/live/1018_1.m3u8
CHC影迷电影,http://218.76.32.193:9901/tsfile/live/1019_1.m3u8
CHC影迷电影,http://xuys.top:8888/udp/225.1.1.214:5002


CCTV-1综合,http://114.243.102.64:4000/rtp/239.3.1.129:8008$北京联通
CCTV-2财经,http://114.243.102.64:4000/rtp/239.3.1.60:8084$北京联通
CCTV-3综艺,http://114.243.102.64:4000/rtp/239.3.1.172:8001$北京联通
CCTV-4中文国际,http://114.243.102.64:4000/rtp/239.3.1.105:8092$北京联通
CCTV-5体育,http://114.243.102.64:4000/rtp/239.3.1.173:8001$北京联通
CCTV-5+体育赛事,http://114.243.102.64:4000/rtp/239.3.1.130:8004$北京联通
CCTV-6电影,http://114.243.102.64:4000/rtp/239.3.1.174:8001$北京联通
CCTV-7国防军事,http://114.243.102.64:4000/rtp/239.3.1.61:8104$北京联通
CCTV-8电视剧,http://114.243.102.64:4000/rtp/239.3.1.175:8001$北京联通
CCTV-9纪录,http://114.243.102.64:4000/rtp/239.3.1.62:8112$北京联通
CCTV-10科教,http://114.243.102.64:4000/rtp/239.3.1.63:8116$北京联通
CCTV-11戏曲,http://114.243.102.64:4000/rtp/239.3.1.152:8120$北京联通
CCTV-12社会与法,http://114.243.102.64:4000/rtp/239.3.1.64:8124$北京联通
CCTV-13新闻,http://114.243.102.64:4000/rtp/239.3.1.124:8128$北京联通
CCTV-14少儿,http://114.243.102.64:4000/rtp/239.3.1.65:8132$北京联通
CCTV-15音乐,http://114.243.102.64:4000/rtp/239.3.1.153:8136$北京联通
CCTV-16奥林匹克,http://114.243.102.64:4000/rtp/239.3.1.184:8001$北京联通
CCTV-17农业农村,http://114.243.102.64:4000/rtp/239.3.1.151:8144$北京联通

CCTV-1综合,http://123.113.249.203:8888/rtp/239.3.1.129:8008$北京联通
CCTV-2财经,http://123.113.249.203:8888/rtp/239.3.1.60:8084$北京联通
CCTV-3综艺,http://123.113.249.203:8888/rtp/239.3.1.172:8001$北京联通
CCTV-4中文国际,http://123.113.249.203:8888/rtp/239.3.1.105:8092$北京联通
CCTV-5体育,http://123.113.249.203:8888/rtp/239.3.1.173:8001$北京联通
CCTV-5+体育赛事,http://123.113.249.203:8888/rtp/239.3.1.130:8004$北京联通
CCTV-6电影,http://123.113.249.203:8888/rtp/239.3.1.174:8001$北京联通
CCTV-7国防军事,http://123.113.249.203:8888/rtp/239.3.1.61:8104$北京联通
CCTV-8电视剧,http://123.113.249.203:8888/rtp/239.3.1.175:8001$北京联通
CCTV-9纪录,http://123.113.249.203:8888/rtp/239.3.1.62:8112$北京联通
CCTV-10科教,http://123.113.249.203:8888/rtp/239.3.1.63:8116$北京联通
CCTV-11戏曲,http://123.113.249.203:8888/rtp/239.3.1.152:8120$北京联通
CCTV-12社会与法,http://123.113.249.203:8888/rtp/239.3.1.64:8124$北京联通
CCTV-13新闻,http://123.113.249.203:8888/rtp/239.3.1.124:8128$北京联通
CCTV-14少儿,http://123.113.249.203:8888/rtp/239.3.1.65:8132$北京联通
CCTV-15音乐,http://123.113.249.203:8888/rtp/239.3.1.153:8136$北京联通
CCTV-16奥林匹克,http://123.113.249.203:8888/rtp/239.3.1.184:8001$北京联通
CCTV-17农业农村,http://123.113.249.203:8888/rtp/239.3.1.151:8144$北京联通

CCTV-1综合,http://115.171.80.36:8888/rtp/239.3.1.129:8008$北京联通
CCTV-2财经,http://115.171.80.36:8888/rtp/239.3.1.60:8084$北京联通
CCTV-3综艺,http://115.171.80.36:8888/rtp/239.3.1.172:8001$北京联通
CCTV-4中文国际,http://115.171.80.36:8888/rtp/239.3.1.105:8092$北京联通
CCTV-5体育,http://115.171.80.36:8888/rtp/239.3.1.173:8001$北京联通
CCTV-5+体育赛事,http://115.171.80.36:8888/rtp/239.3.1.130:8004$北京联通
CCTV-6电影,http://115.171.80.36:8888/rtp/239.3.1.174:8001$北京联通
CCTV-7国防军事,http://115.171.80.36:8888/rtp/239.3.1.61:8104$北京联通
CCTV-8电视剧,http://115.171.80.36:8888/rtp/239.3.1.175:8001$北京联通
CCTV-9纪录,http://115.171.80.36:8888/rtp/239.3.1.62:8112$北京联通
CCTV-10科教,http://115.171.80.36:8888/rtp/239.3.1.63:8116$北京联通
CCTV-11戏曲,http://115.171.80.36:8888/rtp/239.3.1.152:8120$北京联通
CCTV-12社会与法,http://115.171.80.36:8888/rtp/239.3.1.64:8124$北京联通
CCTV-13新闻,http://115.171.80.36:8888/rtp/239.3.1.124:8128$北京联通
CCTV-14少儿,http://115.171.80.36:8888/rtp/239.3.1.65:8132$北京联通
CCTV-15音乐,http://115.171.80.36:8888/rtp/239.3.1.153:8136$北京联通
CCTV-16奥林匹克,http://115.171.80.36:8888/rtp/239.3.1.184:8001$北京联通
CCTV-17农业农村,http://115.171.80.36:8888/rtp/239.3.1.151:8144$北京联通

CCTV-1综合,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv1.m3u8
CCTV-2财经,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv2.m3u8
CCTV-3综艺,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv3.m3u8
CCTV-4中文国际,,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv4.m3u8
CCTV-5体育,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv5.m3u8
CCTV-5+体育赛事,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv5p.m3u8
CCTV-6电影,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv6.m3u8
CCTV-7国防军事,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv7.m3u8
CCTV-8电视剧,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv8.m3u8
CCTV-9纪录,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv9.m3u8
CCTV-10科教,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv10.m3u8
CCTV-11戏曲,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv11.m3u8
CCTV-12社会与法,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv12.m3u8
CCTV-13新闻,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv13.m3u8
CCTV-14少儿,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv14.m3u8
CCTV-15音乐,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv15.m3u8
CCTV-16奥林匹克,,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv16.m3u8
CCTV-17农业农村,http://117.72.36.27:5168/xxtv/xxtv.php?id=cctv17.m3u8

卫视频道,#genre#

北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8$中国移动
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8$中国移动
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8$中国移动
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8$中国移动
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8$中国移动
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8$中国移动
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8$中国移动
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8$中国移动
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8$中国移动
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8$中国移动
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8$中国移动
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8$中国移动
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8$中国移动
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8$中国移动
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8$中国移动
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8$中国移动
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8$中国移动
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8$中国移动
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8$中国移动
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8$中国移动
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8$中国移动
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8$中国移动
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8$中国移动
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8$中国移动
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8$中国移动
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8$中国移动
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8$中国移动
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8$中国移动
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8$中国移动
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8$中国移动
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8$中国移动
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8$中国移动
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8$中国移动
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8$中国移动
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8$中国移动

北京卫视,http://114.243.102.64:4000/rtp/239.3.1.241:8000$北京联通
安徽卫视,http://114.243.102.64:4000/rtp/239.3.1.211:8064$北京联通
东方卫视,http://114.243.102.64:4000/rtp/239.3.1.136:8032$北京联通
东南卫视,http://114.243.102.64:4000/rtp/239.3.1.156:8148$北京联通
甘肃卫视,http://114.243.102.64:4000/rtp/239.3.1.49:8188$北京联通
广东卫视,http://114.243.102.64:4000/rtp/239.3.1.142:8048$北京联通
广西卫视,http://114.243.102.64:4000/rtp/239.3.1.39:8300$北京联通
贵州卫视,http://114.243.102.64:4000/rtp/239.3.1.149:8076$北京联通
海南卫视,http://114.243.102.64:4000/rtp/239.3.1.45:8304$北京联通
河北卫视,http://114.243.102.64:4000/rtp/239.3.1.148:8072$北京联通
河南卫视,http://114.243.102.64:4000/rtp/239.3.1.27:8128$北京联通
黑龙江卫视,http://114.243.102.64:4000/rtp/239.3.1.133:8016$北京联通
湖北卫视,http://114.243.102.64:4000/rtp/239.3.1.138:8044$北京联通
湖南卫视,http://114.243.102.64:4000/rtp/239.3.1.132:8012$北京联通
吉林卫视,http://114.243.102.64:4000/rtp/239.3.1.240:8172$北京联通
江苏卫视,http://114.243.102.64:4000/rtp/239.3.1.135:8028$北京联通
江西卫视,http://114.243.102.64:4000/rtp/239.3.1.123:8164$北京联通
辽宁卫视,http://114.243.102.64:4000/rtp/239.3.1.210:8056$北京联通
内蒙古卫视,http://114.243.102.64:4000/rtp/239.3.1.43:8176$北京联通
宁夏卫视,http://114.243.102.64:4000/rtp/239.3.1.46:8124$北京联通
青海卫视,http://114.243.102.64:4000/rtp/239.3.1.44:8184$北京联通
三沙卫视,http://114.243.102.64:4000/rtp/239.3.1.155:4120$北京联通
厦门卫视,http://114.243.102.64:4000/rtp/239.3.1.143:4120$北京联通
山东卫视,http://114.243.102.64:4000/rtp/239.3.1.209:8052$北京联通
山西卫视,http://114.243.102.64:4000/rtp/239.3.1.42:8172$北京联通
陕西卫视,http://114.243.102.64:4000/rtp/239.3.1.41:8140$北京联通
深圳卫视,http://114.243.102.64:4000/rtp/239.3.1.134:8020$北京联通
四川卫视,http://114.243.102.64:4000/rtp/239.3.1.29:8288$北京联通
天津卫视,http://114.243.102.64:4000/rtp/239.3.1.141:1234$北京联通
西藏卫视,http://114.243.102.64:4000/rtp/239.3.1.47:8164$北京联通
新疆卫视,http://114.243.102.64:4000/rtp/239.3.1.48:8160$北京联通
云南卫视,http://114.243.102.64:4000/rtp/239.3.1.26:8108$北京联通
浙江卫视,http://114.243.102.64:4000/rtp/239.3.1.137:8036$北京联通
重庆卫视,http://114.243.102.64:4000/rtp/239.3.1.122:8160$北京联通
兵团卫视,http://114.243.102.64:4000/rtp/239.3.1.144:4120$北京联通
BRTV财经,http://114.243.102.64:4000/rtp/239.3.1.116:8000$北京联通
BRTV生活,http://114.243.102.64:4000/rtp/239.3.1.117:8000$北京联通
BRTV体育,http://114.243.102.64:4000/rtp/239.3.1.243:8000$北京联通
BRTV文艺,http://114.243.102.64:4000/rtp/239.3.1.242:8000$北京联通
BRTV新闻,http://114.243.102.64:4000/rtp/239.3.1.159:8000$北京联通
BRTV影视,http://114.243.102.64:4000/rtp/239.3.1.158:8000$北京联通
CETV1,http://114.243.102.64:4000/rtp/239.3.1.57:8152$北京联通
CETV2,http://114.243.102.64:4000/rtp/239.3.1.54:4120$北京联通
CETV3,http://114.243.102.64:4000/rtp/239.3.1.55:4120$北京联通
CETV4,http://114.243.102.64:4000/rtp/239.3.1.56:4120$北京联通
爱上4K,http://114.243.102.64:4000/rtp/239.3.1.236:2000$北京联通
财富天下,http://114.243.102.64:4000/rtp/239.3.1.53:9136$北京联通
朝阳融媒,http://114.243.102.64:4000/rtp/239.3.1.163:8001$北京联通
大健康,http://114.243.102.64:4000/rtp/239.3.1.251:8001$北京联通
IPTV动画,http://114.243.102.64:4000/rtp/239.3.1.80:4120$北京联通
动作影院,http://114.243.102.64:4000/rtp/239.3.1.92:4120$北京联通
房山电视台,http://114.243.102.64:4000/rtp/239.3.1.96:8001$北京联通
古装剧场,http://114.243.102.64:4000/rtp/239.3.1.69:4120$北京联通
国学,http://114.243.102.64:4000/rtp/239.3.1.77:4120$北京联通
IPTV电影,http://114.243.102.64:4000/rtp/239.3.1.84:4120$北京联通
纪实人文,http://114.243.102.64:4000/rtp/239.3.1.212:8060$北京联通
家庭影院,http://114.243.102.64:4000/rtp/239.3.1.93:4120$北京联通
嘉佳卡通,http://114.243.102.64:4000/rtp/239.3.1.147:9268$北京联通
金鹰纪实,http://114.243.102.64:4000/rtp/239.3.1.58:8156$北京联通
金鹰卡通,http://114.243.102.64:4000/rtp/239.3.1.51:9252$北京联通
经典电影,http://114.243.102.64:4000/rtp/239.3.1.195:9024$北京联通
军旅剧场,http://114.243.102.64:4000/rtp/239.3.1.68:4120$北京联通
军事,http://114.243.102.64:4000/rtp/239.3.1.76:4120$北京联通
快乐垂钓,http://114.243.102.64:4000/rtp/239.3.1.164:8001$北京联通
萌宠TV,http://114.243.102.64:4000/rtp/239.3.1.102:8001$北京联通
密云电视台,http://114.243.102.64:4000/rtp/239.3.1.154:8001$北京联通
山东教育,http://114.243.102.64:4000/rtp/239.3.1.52:4120$北京联通
淘Baby,http://114.243.102.64:4000/rtp/239.3.1.238:8001$北京联通
淘精彩,http://114.243.102.64:4000/rtp/239.3.1.178:8001$北京联通
淘剧场,http://114.243.102.64:4000/rtp/239.3.1.95:8001$北京联通
淘娱乐,http://114.243.102.64:4000/rtp/239.3.1.100:8001$北京联通
体育赛事,http://114.243.102.64:4000/rtp/239.3.1.157:8176$北京联通
通州融媒,http://114.243.102.64:4000/rtp/239.3.1.221:8001$北京联通
喜剧影院,http://114.243.102.64:4000/rtp/239.3.1.91:4120$北京联通
空中剧院,http://114.243.102.64:4000/rtp/239.3.1.78:4120$北京联通
星影,http://114.243.102.64:4000/rtp/239.3.1.94:4120$北京联通
延庆电视台,http://114.243.102.64:4000/rtp/239.3.1.187:8001$北京联通
中国交通,http://114.243.102.64:4000/rtp/239.3.1.188:8001$北京联通
足球,http://114.243.102.64:4000/rtp/239.3.1.89:4120$北京联通

北京卫视,http://123.113.249.203:8888/rtp/239.3.1.241:8000$北京联通
安徽卫视,http://123.113.249.203:8888/rtp/239.3.1.211:8064$北京联通
广东卫视,http://123.113.249.203:8888/rtp/239.3.1.142:8048$北京联通
广西卫视,http://123.113.249.203:8888/rtp/239.3.1.39:8300$北京联通
深圳卫视,http://123.113.249.203:8888/rtp/239.3.1.134:8020$北京联通
东方卫视,http://123.113.249.203:8888/rtp/239.3.1.136:8032$北京联通
东南卫视,http://123.113.249.203:8888/rtp/239.3.1.156:8148$北京联通
湖北卫视,http://123.113.249.203:8888/rtp/239.3.1.138:8044$北京联通
湖南卫视,http://123.113.249.203:8888/rtp/239.3.1.132:8012$北京联通
河北卫视,http://123.113.249.203:8888/rtp/239.3.1.148:8072$北京联通
河南卫视,http://123.113.249.203:8888/rtp/239.3.1.27:8128$北京联通
山东卫视,http://123.113.249.203:8888/rtp/239.3.1.209:8052$北京联通
山西卫视,http://123.113.249.203:8888/rtp/239.3.1.42:8172$北京联通
江苏卫视,http://123.113.249.203:8888/rtp/239.3.1.135:8028$北京联通
江西卫视,http://123.113.249.203:8888/rtp/239.3.1.123:8164$北京联通
吉林卫视,http://123.113.249.203:8888/rtp/239.3.1.240:8172$北京联通
辽宁卫视,http://123.113.249.203:8888/rtp/239.3.1.210:8056$北京联通
兵团卫视,http://123.113.249.203:8888/rtp/239.3.1.144:4120$北京联通
甘肃卫视,http://123.113.249.203:8888/rtp/239.3.1.49:8188$北京联通
贵州卫视,http://123.113.249.203:8888/rtp/239.3.1.149:8076$北京联通
海南卫视,http://123.113.249.203:8888/rtp/239.3.1.45:8304$北京联通
宁夏卫视,http://123.113.249.203:8888/rtp/239.3.1.46:8124$北京联通
青海卫视,http://123.113.249.203:8888/rtp/239.3.1.44:8184$北京联通
三沙卫视,http://123.113.249.203:8888/rtp/239.3.1.155:4120$北京联通
厦门卫视,http://123.113.249.203:8888/rtp/239.3.1.143:4120$北京联通
陕西卫视,http://123.113.249.203:8888/rtp/239.3.1.41:8140$北京联通
四川卫视,http://123.113.249.203:8888/rtp/239.3.1.29:8288$北京联通
天津卫视,http://123.113.249.203:8888/rtp/239.3.1.141:1234$北京联通
西藏卫视,http://123.113.249.203:8888/rtp/239.3.1.47:8164$北京联通
新疆卫视,http://123.113.249.203:8888/rtp/239.3.1.48:8160$北京联通
云南卫视,http://123.113.249.203:8888/rtp/239.3.1.26:8108$北京联通
浙江卫视,http://123.113.249.203:8888/rtp/239.3.1.137:8036$北京联通
重庆卫视,http://123.113.249.203:8888/rtp/239.3.1.122:8160$北京联通
黑龙江卫视,http://123.113.249.203:8888/rtp/239.3.1.133:8016$北京联通
内蒙古卫视,http://123.113.249.203:8888/rtp/239.3.1.43:8176$北京联通
BRTV财经,http://123.113.249.203:8888/rtp/239.3.1.116:8000$北京联通
BRTV生活,http://123.113.249.203:8888/rtp/239.3.1.117:8000$北京联通
BRTV体育,http://123.113.249.203:8888/rtp/239.3.1.243:8000$北京联通
BRTV文艺,http://123.113.249.203:8888/rtp/239.3.1.242:8000$北京联通
BRTV新闻,http://123.113.249.203:8888/rtp/239.3.1.159:8000$北京联通
BRTV影视,http://123.113.249.203:8888/rtp/239.3.1.158:8000$北京联通
CETV1,http://123.113.249.203:8888/rtp/239.3.1.57:8152$北京联通
CETV2,http://123.113.249.203:8888/rtp/239.3.1.54:4120$北京联通
CETV3,http://123.113.249.203:8888/rtp/239.3.1.55:4120$北京联通
CETV4,http://123.113.249.203:8888/rtp/239.3.1.56:4120$北京联通
爱上4K,http://123.113.249.203:8888/rtp/239.3.1.236:2000$北京联通
财富天下,http://123.113.249.203:8888/rtp/239.3.1.53:9136$北京联通
朝阳融媒,http://123.113.249.203:8888/rtp/239.3.1.163:8001$北京联通
大健康,http://123.113.249.203:8888/rtp/239.3.1.251:8001$北京联通
IPTV动画,http://123.113.249.203:8888/rtp/239.3.1.80:4120$北京联通
动作影院,http://123.113.249.203:8888/rtp/239.3.1.92:4120$北京联通
房山电视台,http://123.113.249.203:8888/rtp/239.3.1.96:8001$北京联通
古装剧场,http://123.113.249.203:8888/rtp/239.3.1.69:4120$北京联通
国学,http://123.113.249.203:8888/rtp/239.3.1.77:4120$北京联通
IPTV电影,http://123.113.249.203:8888/rtp/239.3.1.84:4120$北京联通
纪实人文,http://123.113.249.203:8888/rtp/239.3.1.212:8060$北京联通
家庭影院,http://123.113.249.203:8888/rtp/239.3.1.93:4120$北京联通
